a433-microservices-item-app-1  | 
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2024-03-05T02:49:26.433+0000 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 I STORAGE  [initandlisten] 
a433-microservices-item-app-1  | [0mPOST /api [32m201 [0m2.417 ms - 53[0m
a433-microservices-item-app-1  | [0mGET / [36m304 [0m1.190 ms - -[0m
a433-microservices-item-app-1  | [0mGET /stylesheets/style.css [36m304 [0m1.779 ms - -[0m
a433-microservices-item-app-1  | [0mGET /javascripts/dist/dist.min.js [36m304 [0m0.614 ms - -[0m
a433-microservices-item-app-1  | [0mGET /api [32m200 [0m3.028 ms - 107[0m
a433-microservices-item-app-1  | [0mPOST /api [32m201 [0m2.395 ms - 49[0m
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2024-03-05T02:49:26.434+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=6400M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2024-03-05T02:49:27.591+0000 I STORAGE  [initandlisten] WiredTiger message [1709606967:591430][1:0x7fb0f4776a40], txn-recover: Main recovery loop: starting at 2/2944
a433-microservices-item-db-1   | 2024-03-05T02:49:27.591+0000 I STORAGE  [initandlisten] WiredTiger message [1709606967:591989][1:0x7fb0f4776a40], txn-recover: Recovering log 2 through 3
a433-microservices-item-db-1   | 2024-03-05T02:49:27.637+0000 I STORAGE  [initandlisten] WiredTiger message [1709606967:637658][1:0x7fb0f4776a40], file:sizeStorer.wt, txn-recover: Recovering log 3 through 3
a433-microservices-item-db-1   | 2024-03-05T02:49:27.665+0000 I STORAGE  [initandlisten] WiredTiger message [1709606967:665351][1:0x7fb0f4776a40], file:sizeStorer.wt, txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2024-03-05T02:49:27.741+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2024-03-05T02:49:27.748+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2024-03-05T02:49:27.748+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2024-03-05T02:49:27.748+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2024-03-05T02:49:27.748+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2024-03-05T02:49:29.155+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:37414 #1 (1 connection now open)
a433-microservices-item-db-1   | 2024-03-05T02:49:29.164+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:37414 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.133.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
a433-microservices-item-db-1   | 2024-03-05T02:57:30.108+0000 I STORAGE  [conn1] createCollection: accumulator.documents with generated UUID: 4c3e6e43-613d-4788-a642-f326b5efe675
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=f21a97d09f67
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2024-03-07T02:19:14.732+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2024-03-07T02:19:14.733+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2024-03-07T02:19:14.733+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2024-03-07T02:19:14.733+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1  | 2024-03-07T02:19:14.734+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=6400M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2024-03-07T02:19:15.501+0000 I STORAGE  [initandlisten] WiredTiger message [1709777955:501255][1:0x7f9839dc4a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2024-03-07T02:19:15.571+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1  | 2024-03-07T02:19:15.572+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2024-03-07T02:19:15.572+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: e760fac7-8d2c-472e-9c68-6a5d0a1fc5e7
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-db-1   | 2024-03-07T02:19:15.603+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1   | 2024-03-07T02:19:15.604+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 0f4b2bff-40f5-425e-9e2b-5c9a54bbbbb5
a433-microservices-item-db-1   | 2024-03-07T02:19:15.634+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2024-03-07T02:19:15.635+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2024-03-07T02:19:15.635+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2024-03-07T02:19:15.635+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 021a5947-f9a0-40fd-b649-cddd943345c9
a433-microservices-item-db-1   | 2024-03-07T02:19:15.635+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2024-03-07T02:19:15.681+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1   | 2024-03-07T02:19:15.681+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1   | 2024-03-07T02:19:15.683+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-db-1   | 2024-03-07T02:19:16.076+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:53946 #1 (1 connection now open)
a433-microservices-item-db-1   | 2024-03-07T02:19:16.080+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:53946 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.133.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
